sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_4136_r0	SPZ1	300.76	297.37	300.76	297.37	-0.016302	5.7478	2101.5	0.073961	0.47052	0.52948	0.94104	0.99981	False
s_3473_r0	ELP2	351.33	347.67	351.33	347.67	-0.015073	6.7048	2454.9	0.073908	0.47054	0.52946	0.94108	0.99981	False
s_2503_r0	GPANK1	351.33	347.67	351.33	347.67	-0.015073	6.7048	2454.9	0.073908	0.47054	0.52946	0.94108	0.99981	False
s_3195_r0	PTPN22	485	480.7	485	480.7	-0.012819	9.2421	3388.9	0.073853	0.47056	0.52944	0.94113	0.99981	False
s_1959_r0	TBX2	163.47	160.98	163.47	160.98	-0.022045	3.1104	1142.3	0.073799	0.47059	0.52941	0.94117	0.99981	False
s_2513_r0	TFEB	64.125	62.603	64.125	62.603	-0.034114	1.1581	448.07	0.073527	0.47069	0.52931	0.94139	0.99981	False
s_1342_r0	NFIA	64.125	62.603	64.125	62.603	-0.034114	1.1581	448.07	0.073527	0.47069	0.52931	0.94139	0.99981	False
s_3304_r0	VSX1	158.96	156.51	158.96	156.51	-0.022268	3.0012	1110.7	0.073514	0.4707	0.5293	0.9414	0.99981	False
s_1500_r0	PBX1	346.82	343.2	346.82	343.2	-0.015084	6.5439	2423.3	0.07349	0.47071	0.52929	0.94142	0.99981	False
s_741_r0	HMGA1	228.5	231.41	228.5	231.41	0.018154	4.2229	1596.6	0.072731	0.52899	0.47101	0.94202	0.99981	True
s_4783_r0	ZNF627	344.11	347.67	344.11	347.67	0.01482	6.3491	2404.4	0.072672	0.52897	0.47103	0.94207	0.99981	True
s_467_r0	ETV2	337.79	334.26	337.79	334.26	-0.015108	6.2281	2360.2	0.072646	0.47104	0.52896	0.94209	0.99981	False
s_1899_r0	SRY	242.95	245.94	242.95	245.94	0.017565	4.4651	1697.6	0.072529	0.52891	0.47109	0.94218	0.99981	True
s_4300_r0	ZNF276	140.89	138.62	140.89	138.62	-0.0233	2.5837	984.48	0.072454	0.47112	0.52888	0.94224	0.99981	False
s_2771_r0	MED12	300.76	304.07	300.76	304.07	0.015772	5.5012	2101.5	0.072357	0.52884	0.47116	0.94232	0.99981	True
s_1920_r0	STAT4	300.76	304.07	300.76	304.07	0.015772	5.5012	2101.5	0.072357	0.52884	0.47116	0.94232	0.99981	True
s_4645_r0	ZNF782	487.71	491.88	487.71	491.88	0.012259	8.6958	3407.8	0.071438	0.52848	0.47152	0.94305	0.99981	True
s_3960_r0	ZNF669	91.22	89.433	91.22	89.433	-0.028231	1.5968	637.39	0.070985	0.4717	0.5283	0.94341	0.99981	False
s_160_r0	CDC5L	319.72	323.08	319.72	323.08	0.015013	5.6278	2234	0.070981	0.52829	0.47171	0.94341	0.99981	True
s_560_r0	FOXO1	95.736	93.905	95.736	93.905	-0.027573	1.6767	668.94	0.070946	0.47172	0.52828	0.94344	0.99981	False
s_1092_r0	IRF2	26.192	25.712	26.192	25.712	-0.025689	0.11516	183.01	0.07051	0.47189	0.52811	0.94379	0.99981	False
s_2963_r0	ARID5A	92.124	93.905	92.124	93.905	0.027338	1.5868	643.7	0.070215	0.52792	0.47208	0.94416	0.99981	True
s_2162_r0	USF1	155.35	157.63	155.35	157.63	0.020893	2.6006	1085.5	0.069223	0.52759	0.47241	0.94481	0.99981	True
s_1881_r0	SPP1	435.33	431.52	435.33	431.52	-0.012663	7.2702	3041.8	0.069139	0.47244	0.52756	0.94488	0.99981	False
s_4404_r0	ZNF543	430.81	427.04	430.81	427.04	-0.012648	7.1026	3010.2	0.068695	0.47262	0.52738	0.94523	0.99981	False
s_1983_r0	HNF1A	177.92	175.51	177.92	175.51	-0.019581	2.9089	1243.2	0.068408	0.47273	0.52727	0.94546	0.99981	False
s_4303_r0	ZNF561	343.21	346.55	343.21	346.55	0.013968	5.607	2398.1	0.068383	0.52726	0.47274	0.94548	0.99981	True
s_1447_r0	NR4A2	184.25	186.69	184.25	186.69	0.018917	2.9889	1287.4	0.068142	0.52716	0.47284	0.94567	0.99981	True
s_3426_r0	SOX18	237.53	234.76	237.53	234.76	-0.016862	3.8414	1659.7	0.068036	0.47288	0.52712	0.94576	0.99981	False
s_3705_r0	ZNF71	32.514	33.537	32.514	33.537	0.043391	0.52357	227.19	0.067891	0.51962	0.48038	0.96076	0.99981	True
s_3031_r0	TFEC	299.85	302.96	299.85	302.96	0.0148	4.8119	2095.2	0.067774	0.52702	0.47298	0.94597	0.99981	True
s_5068_r0	FOXI3	168.89	166.57	168.89	166.57	-0.019868	2.6996	1180.1	0.06764	0.47304	0.52696	0.94607	0.99981	False
s_4853_r0	FOXK1	375.72	372.27	375.72	372.27	-0.013286	5.963	2625.3	0.0674	0.47313	0.52687	0.94626	0.99981	False
s_5112_r0	ZNF445	347.72	351.03	347.72	351.03	0.013607	5.46	2429.7	0.067041	0.52673	0.47327	0.94655	0.99981	True
s_3805_r0	ZSCAN31	325.14	321.96	325.14	321.96	-0.014145	5.0626	2271.9	0.066759	0.47339	0.52661	0.94677	0.99981	False
s_2675_r0	MED14	52.384	53.66	52.384	53.66	0.034078	0.8141	366.03	0.066696	0.52512	0.47488	0.94976	0.99981	True
s_4889_r0	BCL6B	366.69	363.32	366.69	363.32	-0.013264	5.6616	2562.2	0.066478	0.4735	0.5265	0.947	0.99981	False
s_4134_r0	SPZ1	51.481	50.306	51.481	50.306	-0.032656	0.6898	359.71	0.06632	0.47356	0.52644	0.94712	0.99981	False
s_2509_r0	LST1	304.37	307.43	304.37	307.43	0.014376	4.6758	2126.7	0.066311	0.52643	0.47357	0.94713	0.99981	True
s_5361_r0	ZNF705B	366.69	370.03	366.69	370.03	0.013056	5.5861	2562.2	0.066034	0.52632	0.47368	0.94735	0.99981	True
s_5811_r0	Non-Targeting Control	270.05	267.18	270.05	267.18	-0.015338	4.1082	1886.9	0.065987	0.47369	0.52631	0.94739	0.99981	False
s_2017_r0	TCF19	275.47	278.36	275.47	278.36	0.015022	4.1868	1924.8	0.065958	0.52629	0.47371	0.94741	0.99981	True
s_328_r0	E2F2	135.48	137.5	135.48	137.5	0.02128	2.0562	946.62	0.065912	0.52627	0.47373	0.94745	0.99981	True
s_4530_r0	ZNF597	203.21	205.7	203.21	205.7	0.017435	3.0824	1419.9	0.065891	0.52627	0.47373	0.94746	0.99981	True
s_5609_r0	Non-Targeting Control	203.21	205.7	203.21	205.7	0.017435	3.0824	1419.9	0.065891	0.52627	0.47373	0.94746	0.99981	True
s_4963_r0	ZNF621	399.2	395.74	399.2	395.74	-0.012526	5.9845	2789.4	0.065505	0.47389	0.52611	0.94777	0.99981	False
s_1635_r0	PSMB9	141.8	139.74	141.8	139.74	-0.020948	2.1186	990.79	0.0654	0.47393	0.52607	0.94786	0.99981	False
s_2983_r0	SOX30	210.44	207.93	210.44	207.93	-0.017205	3.1416	1470.4	0.065369	0.47394	0.52606	0.94788	0.99981	False
s_4344_r0	ZNF653	149.93	152.04	149.93	152.04	0.02003	2.2262	1047.6	0.065193	0.52599	0.47401	0.94802	0.99981	True
s_548_r0	FOXM1	436.23	432.63	436.23	432.63	-0.011923	6.4744	3048.1	0.065177	0.47402	0.52598	0.94803	0.99981	False
s_4325_r0	IL17F	394.69	391.27	394.69	391.27	-0.012507	5.8326	2757.8	0.065037	0.47407	0.52593	0.94814	0.99981	False
s_3252_r0	ZNF777	307.08	304.07	307.08	304.07	-0.014142	4.5157	2145.7	0.064878	0.47414	0.52586	0.94827	0.99981	False
s_495_r0	BPTF	308.88	311.9	308.88	311.9	0.013963	4.5416	2158.3	0.064873	0.52586	0.47414	0.94827	0.99981	True
s_4609_r0	GLIS1	55.997	54.778	55.997	54.778	-0.031184	0.74269	391.27	0.064679	0.47421	0.52579	0.94843	0.99981	False
s_5792_r0	Non-Targeting Control	348.62	345.44	348.62	345.44	-0.013216	5.0824	2436	0.064597	0.47425	0.52575	0.94849	0.99981	False
s_995_r0	IL2RA	279.98	282.83	279.98	282.83	0.014557	4.0599	1956.3	0.064424	0.52568	0.47432	0.94863	0.99981	True
s_3758_r0	ZNF667	681.89	677.46	681.89	677.46	-0.0094054	9.8458	4764.6	0.064287	0.47437	0.52563	0.94874	0.99981	False
s_3139_r0	ZIM2	123.73	121.85	123.73	121.85	-0.02193	1.7704	864.58	0.064011	0.47448	0.52552	0.94896	0.99981	False
s_3975_r0	NANOG	123.73	121.85	123.73	121.85	-0.02193	1.7704	864.58	0.064011	0.47448	0.52552	0.94896	0.99981	False
s_1196_r0	MAFG	207.73	210.17	207.73	210.17	0.016758	2.9737	1451.5	0.064011	0.52552	0.47448	0.94896	0.99981	True
s_5853_r0	Non-Targeting Control	222.18	224.7	222.18	224.7	0.016204	3.1774	1552.5	0.06398	0.52551	0.47449	0.94899	0.99981	True
s_955_r0	HSF2	438.04	441.58	438.04	441.58	0.011581	6.2607	3060.7	0.063961	0.5255	0.4745	0.949	0.99981	True
s_5207_r0	ZBTB34	381.14	377.86	381.14	377.86	-0.012447	5.3885	2663.2	0.063614	0.47464	0.52536	0.94928	0.99981	False
s_2494_r0	PAX8	60.513	59.25	60.513	59.25	-0.029929	0.79753	422.82	0.063565	0.47466	0.52534	0.94932	0.99981	False
s_3785_r0	PRDM16	298.95	301.84	298.95	301.84	0.013822	4.1688	2088.9	0.063178	0.52519	0.47481	0.94962	0.99981	True
s_460_r0	ETS2	242.95	240.35	242.95	240.35	-0.015466	3.3832	1697.6	0.063134	0.47483	0.52517	0.94966	0.99981	False
s_1723_r0	RXRB	242.95	240.35	242.95	240.35	-0.015466	3.3832	1697.6	0.063134	0.47483	0.52517	0.94966	0.99981	False
s_5127_r0	ZNF761	242.95	240.35	242.95	240.35	-0.015466	3.3832	1697.6	0.063134	0.47483	0.52517	0.94966	0.99981	False
s_5353_r0	ZNF705G	376.62	373.38	376.62	373.38	-0.012427	5.2444	2631.6	0.063133	0.47483	0.52517	0.94966	0.99981	False
s_2507_r0	DDX39B	187.86	185.57	187.86	185.57	-0.017567	2.6121	1312.6	0.063087	0.47485	0.52515	0.9497	0.99981	False
s_4157_r0	ZBTB45	110.19	108.44	110.19	108.44	-0.022876	1.5297	769.92	0.063084	0.47485	0.52515	0.9497	0.99981	False
s_5706_r0	Non-Targeting Control	105.67	103.97	105.67	103.97	-0.023245	1.4533	738.36	0.062809	0.47496	0.52504	0.94992	0.99981	False
s_5993_r0	EGFP	105.67	103.97	105.67	103.97	-0.023245	1.4533	738.36	0.062809	0.47496	0.52504	0.94992	0.99981	False
s_5790_r0	Non-Targeting Control	475.97	479.59	475.97	479.59	0.010892	6.5323	3325.8	0.062676	0.52499	0.47501	0.95002	0.99981	True
s_1651_r0	RAD21	212.25	214.64	212.25	214.64	0.01611	2.8669	1483	0.062179	0.52479	0.47521	0.95042	0.99981	True
s_5926_r0	Non-Targeting Control	178.83	176.63	178.83	176.63	-0.017736	2.414	1249.5	0.06216	0.47522	0.52478	0.95044	0.99981	False
s_4621_r0	ZNF595	589.77	585.79	589.77	585.79	-0.0097599	7.9326	4120.9	0.062048	0.47526	0.52474	0.95052	0.99981	False
s_2254_r0	ZNF18	303.47	306.31	303.47	306.31	0.01341	4.0422	2120.4	0.061746	0.52462	0.47538	0.95076	0.99981	True
s_1632_r0	PROX1	174.31	172.16	174.31	172.16	-0.017828	2.3179	1218	0.061694	0.4754	0.5246	0.95081	0.99981	False
s_4668_r0	ZNF610	229.41	226.94	229.41	226.94	-0.015541	3.0471	1602.9	0.06166	0.47542	0.52458	0.95083	0.99981	False
s_4455_r0	ZFP42	275.47	272.77	275.47	272.77	-0.014137	3.6338	1924.8	0.061448	0.4755	0.5245	0.951	0.99981	False
s_4728_r0	OLIG3	169.8	167.69	169.8	167.69	-0.017924	2.2237	1186.4	0.061226	0.47559	0.52441	0.95118	0.99981	False
s_204_r0	CCR1	358.56	355.5	358.56	355.5	-0.012338	4.6875	2505.4	0.061172	0.47561	0.52439	0.95122	0.99981	False
s_827_r0	HOXA10	158.96	160.98	158.96	160.98	0.01812	2.0436	1110.7	0.060662	0.52419	0.47581	0.95163	0.99981	True
s_1250_r0	FOXO4	81.285	82.726	81.285	82.726	0.025035	1.0373	567.97	0.060437	0.52394	0.47606	0.95212	0.99981	True
s_2770_r0	MED12	503.97	507.53	503.97	507.53	0.010147	6.3513	3521.4	0.06006	0.52395	0.47605	0.95211	0.99981	True
s_5234_r0	ETV3L	422.68	425.93	422.68	425.93	0.010996	5.2541	2953.4	0.059649	0.52378	0.47622	0.95244	0.99981	True
s_3871_r0	ZFP69B	134.57	136.39	134.57	136.39	0.019167	1.6438	940.31	0.05913	0.52357	0.47643	0.95285	0.99981	True
s_3826_r0	IKZF5	235.73	238.12	235.73	238.12	0.014482	2.852	1647.1	0.058847	0.52346	0.47654	0.95307	0.99981	True
s_5511_r0	Non-Targeting Control	149.02	150.92	149.02	150.92	0.018112	1.7961	1041.3	0.058736	0.52342	0.47658	0.95316	0.99981	True
s_5100_r0	ZNF713	590.67	586.91	590.67	586.91	-0.0092179	7.1004	4127.3	0.058658	0.47661	0.52339	0.95322	0.99981	False
s_2953_r0	ZNF273	335.98	333.14	335.98	333.14	-0.012214	4.0354	2347.6	0.058633	0.47662	0.52338	0.95324	0.99981	False
s_3686_r0	HES4	43.352	42.481	43.352	42.481	-0.028628	0.3797	302.92	0.058439	0.4767	0.5233	0.9534	0.99981	False
s_1589_r0	POU4F3	373.01	370.03	373.01	370.03	-0.01154	4.4393	2606.4	0.058366	0.47673	0.52327	0.95346	0.99981	False
s_2670_r0	ZBTB22	368.49	365.56	368.49	365.56	-0.011508	4.3086	2574.8	0.057851	0.47693	0.52307	0.95387	0.99981	False
s_5968_r0	Non-Targeting Control	269.15	271.65	269.15	271.65	0.013334	3.1461	1880.6	0.057843	0.52306	0.47694	0.95387	0.99981	True
s_2410_r0	ZNF157	110.19	111.79	110.19	111.79	0.020672	1.2875	769.92	0.057831	0.52304	0.47696	0.95392	0.99981	True
s_2676_r0	MED14	398.3	401.33	398.3	401.33	0.010918	4.5999	2783.1	0.057495	0.52292	0.47708	0.95415	0.99981	True
s_4100_r0	ZNF541	363.98	361.09	363.98	361.09	-0.011474	4.1799	2543.2	0.057333	0.47714	0.52286	0.95428	0.99981	False
s_1662_r0	RARG	280.89	278.36	280.89	278.36	-0.012983	3.1886	1962.7	0.057002	0.47727	0.52273	0.95454	0.99981	False
s_2372_r0	ZNF134	335.98	338.73	335.98	338.73	0.01172	3.7776	2347.6	0.05673	0.52262	0.47738	0.95476	0.99981	True
s_2628_r0	IER3	211.34	213.52	211.34	213.52	0.014734	2.3757	1476.7	0.056724	0.52262	0.47738	0.95477	0.99981	True
s_3977_r0	ZNF696	211.34	213.52	211.34	213.52	0.014734	2.3757	1476.7	0.056724	0.52262	0.47738	0.95477	0.99981	True
s_2196_r0	ZFX	182.44	184.46	182.44	184.46	0.015764	2.031	1274.8	0.056449	0.52251	0.47749	0.95498	0.99981	True
s_2418_r0	ZNF174	182.44	184.46	182.44	184.46	0.015764	2.031	1274.8	0.056449	0.52251	0.47749	0.95498	0.99981	True
s_3902_r0	ZNF557	391.98	389.03	391.98	389.03	-0.01084	4.3269	2738.9	0.056211	0.47759	0.52241	0.95517	0.99981	False
s_4604_r0	CREB3L4	51.481	52.542	51.481	52.542	0.028883	0.56314	359.71	0.055956	0.52072	0.47928	0.95856	0.99981	True
s_5369_r0	DUX4	179.73	177.75	179.73	177.75	-0.015913	1.9652	1255.8	0.055944	0.47769	0.52231	0.95539	0.99981	False
s_9_r0	NR0B1	271.85	269.42	271.85	269.42	-0.012943	2.9693	1899.5	0.055913	0.47771	0.52229	0.95541	0.99981	False
s_2183_r0	XPA	47.868	46.952	47.868	46.952	-0.027288	0.41919	334.47	0.055874	0.47772	0.52228	0.95544	0.99981	False
s_594_r0	GATA1	47.868	46.952	47.868	46.952	-0.027288	0.41919	334.47	0.055874	0.47772	0.52228	0.95544	0.99981	False
s_4071_r0	TFAP2D	387.46	384.56	387.46	384.56	-0.010801	4.1979	2707.3	0.055688	0.4778	0.5222	0.95559	0.99981	False
s_911_r0	HOXD1	340.5	343.2	340.5	343.2	0.01138	3.6571	2379.2	0.055446	0.52211	0.47789	0.95578	0.99981	True
s_5552_r0	Non-Targeting Control	21.676	22.358	21.676	22.358	0.042763	0.2327	151.46	0.055432	0.50266	0.49734	0.99468	0.99981	True
s_4187_r0	ZIC5	345.91	343.2	345.91	343.2	-0.011333	3.6844	2417	0.055215	0.47798	0.52202	0.95597	0.99981	False
s_5136_r0	ZNF324B	75.866	77.136	75.866	77.136	0.023638	0.80617	530.11	0.05515	0.52176	0.47824	0.95649	0.99981	True
s_5119_r0	ZNF790	114.7	116.26	114.7	116.26	0.019327	1.2175	801.47	0.05512	0.52197	0.47803	0.95607	0.99981	True
s_4448_r0	OSR1	111.09	109.56	111.09	109.56	-0.019885	1.1771	776.23	0.055116	0.47802	0.52198	0.95605	0.99981	False
s_1418_r0	NKX3-1	304.37	301.84	304.37	301.84	-0.01201	3.2043	2126.7	0.054894	0.47811	0.52189	0.95622	0.99981	False
s_4224_r0	ZNF616	278.18	280.6	278.18	280.6	0.012452	2.9283	1943.7	0.054892	0.52189	0.47811	0.95622	0.99981	True
s_1912_r0	STAT2	143.6	145.33	143.6	145.33	0.017106	1.4874	1003.4	0.05445	0.52171	0.47829	0.95658	0.99981	True
s_4161_r0	ZSCAN10	31.611	32.42	31.611	32.42	0.035334	0.32688	220.88	0.054404	0.51356	0.48644	0.97287	0.99981	True
s_83_r0	NKX3-2	52.384	51.424	52.384	51.424	-0.026175	0.46063	366.03	0.054215	0.47838	0.52162	0.95676	0.99981	False
s_4185_r0	ZIC5	345.01	347.67	345.01	347.67	0.01105	3.5386	2410.7	0.054182	0.5216	0.4784	0.95679	0.99981	True
s_2958_r0	ZNF460	297.14	299.6	297.14	299.6	0.011845	3.0209	2076.2	0.053944	0.52151	0.47849	0.95698	0.99981	True
s_1893_r0	SRF	443.46	440.46	443.46	440.46	-0.0097657	4.4952	3098.6	0.053865	0.47852	0.52148	0.95704	0.99981	False
