id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF594	4	0.32095	0.34598	0.996523	462	1	-0.097284	0.024562	0.056148	0.941308	74	1	-0.097284
TFDP2	4	0.98356	0.98366	0.996523	1332	0	0.19868	0.024765	0.056324	0.941308	75	2	0.19868
DLX3	4	0.02674	0.05757	0.875764	86	2	-0.063033	0.025288	0.057057	0.941308	76	2	-0.063033
CD44	4	0.54197	0.54265	0.996523	715	0	0.061824	0.025682	0.057643	0.941308	77	2	0.061824
DMRTA2	4	0.50768	0.50835	0.996523	668	1	0.2467	0.025947	0.05809	0.941308	78	2	0.2467
HSFY1	4	0.84259	0.8445	0.996523	1121	0	0.14322	0.02608	0.058296	0.941308	79	2	0.14322
MEIS2	4	0.92875	0.92898	0.996523	1246	0	0.18549	0.02648	0.058992	0.941308	80	2	0.18549
SREBF1	4	0.71836	0.71888	0.996523	952	0	0.006711	0.02674	0.059366	0.941308	81	1	0.006711
IFNGR1	4	0.47765	0.47958	0.996523	635	1	0.044827	0.027465	0.060575	0.941308	82	2	0.044827
HOXD12	4	0.94508	0.94508	0.996523	1273	0	0.23311	0.02756	0.060707	0.941308	83	2	0.23311
DMBX1	4	0.44199	0.4475	0.996523	592	1	0.16479	0.027697	0.060949	0.941308	84	2	0.16479
ZNF25	4	0.63349	0.63408	0.996523	840	0	0.19097	0.028245	0.061711	0.941308	85	2	0.19097
FOXN2	4	0.62505	0.62566	0.996523	830	0	-0.12802	0.029637	0.063807	0.941308	86	1	-0.12802
FOXK1	4	0.27498	0.31025	0.996523	414	1	0.12147	0.029779	0.064027	0.941308	87	2	0.12147
E2F6	4	0.6469	0.64755	0.996523	855	0	-0.089818	0.03036	0.064913	0.941308	88	1	-0.089818
ZNF584	4	0.63696	0.63751	0.996523	844	0	0.12236	0.030917	0.065815	0.941308	89	2	0.12236
ZNF658	4	0.72572	0.72632	0.996523	963	0	0.1742	0.03106	0.065954	0.941308	90	2	0.1742
RUNX2	4	0.2874	0.31982	0.996523	429	1	-0.030115	0.031083	0.065991	0.941308	91	1	-0.030115
USF2	4	0.94633	0.94645	0.996523	1279	0	0.13836	0.031806	0.066987	0.941308	92	1	0.13836
TET1	4	0.99728	0.99739	0.999409	1348	0	0.17433	0.031928	0.067119	0.941308	93	2	0.17433
ZNF284	4	0.93778	0.93788	0.996523	1258	0	0.066955	0.032528	0.067933	0.941308	94	1	0.066955
ETV7	4	0.74906	0.75001	0.996523	995	0	0.11293	0.032953	0.068592	0.941308	95	2	0.11293
ZNF736	4	0.94617	0.9462	0.996523	1278	0	0.1524	0.03325	0.069076	0.941308	96	2	0.1524
ZNF90	4	0.72768	0.72826	0.996523	965	0	0.12968	0.033694	0.069736	0.941308	97	2	0.12968
BATF3	4	0.0033261	0.0099193	0.606328	22	2	-0.19286	0.033971	0.070146	0.941308	98	1	-0.19286
AHRR	4	0.59172	0.59258	0.996523	776	0	0.07844	0.034142	0.070373	0.941308	99	2	0.07844
ZSCAN16	4	0.89435	0.8953	0.996523	1189	0	0.22694	0.034442	0.070879	0.941308	100	2	0.22694
